"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QF","LEH1","3252","0.0450","14.1323","LEEDS WORTLEY JN - FORMER PANNAL JN (?)","HFJ6","","","false","",""
"QF","LEH2","3254","14.1320","15.0628","FORMER PANNAL JN-FORMER CRIMPLE JN (??)","HFJ7","","","false","",""
"QF","LEH3","3255","15.0439","17.0528","FORMER CRIMPLE JN - HARROGATE STATION","HFJ7","","","false","",""
"QF","LEN3","4110","56.0441","89.0000","EAST LOW JN - NEWCASTLE EAST JN VIA HARTLEPOOL","HFJ1","","","false","",""
"QF","MAC3","3205","33.0242","112.0918","DEEPCAR (BSC) - CLEETHORPES","HFJ4","","","false","",""
"QF","MAM1","3977","9.0572","9.0679","MALTBY COLLIERY BCH JN TO MILEAGE CHANGE","HFJ4","","","false","",""
"QF","MAM2","3976","0.0022","0.0946","MILEAGE CHANGE TO MALTBY COLLIERY","HFJ4","","","false","",""
"QF","MAN1","0","0.0000","0.0330","MANTON COLLIERY","HFJ4","","","false","",""
"QF","MAN2","3975","58.1073","59.0016","MANTON COLLIERY BRANCH","HFJ4","","","false","",""
"QF","MAS","1925","153.1570","164.1452","TOTLEY TUNNEL EAST - CHINLEY NTH JN (DORE & CHINLEY LINE)(D16)","HFJ4","","","false","",""
"QF","MBW1","3680","-0.0001","10.1152","MIDDLESBROUGH WHITBY (GUISBOROUGH JN - BATTERSBY JN)","HFJ1","","","false","",""
"QF","MBW2","3682","11.1550","29.1452","MIDDLESBROUGH WHITBY (BATTERSBY TO GROSMONT JNC)","HFJ1","","","false","",""
"QF","MBW3","3553","24.0968","30.1364","MIDDLESBROUGH WHITBY (GROSMONT JNC - WHITBY)","HFJ1","","","false","",""
"QF","MDL1","6033","32.0302","42.0063","THORNHILL LNW JN - HOLBECK EAST JN (MIRFIELD - LEEDS)","HFJ6","","","false","",""
"QF","MEW1","3697","61.0176","61.0264","METHLEY JN","HFJ6","","","false","",""
"QF","MEW2","3698","0.0000","1.0333","METHLEY JN - WHITWOOD JN (INCLUDES MEW1 61.0176-61.0264 AS 1.0264-1.0314)","HFJ6","","","false","",""
"QF","MGW","2762","6.0303","7.1364","MILFORD JN - GASCOIGNE WOOD JN","HFJ7","","","false","",""
"QF","MGY","3971","0.0000","0.0845","MIDDLESBOROUGH GOODS YARD","HFJ1","","","false","",""
"QF","MKB1","3968","0.0000","0.0748","MONK BRETTON BRANCH (CUDWORTH NORTH JN TO MILEAGE CHANGE)","HFJ7","","","false","",""
"QF","MKB2","3967","175.1584","176.0484","MONK BRETTON BRANCH (MILEAGE CHANGE TO MONK BRETTON)","HFJ7","","","false","",""
"QF","MRB","3008","29.0440","40.0593","MILNER ROYD JN BRADFORD","HFJ6","","","false","",""
